Username,Checked,Followers List,Followers Count
ParishGOV,1,0,
DaveOstroff,1,0,
nowes,1,0,
openupthedebate,1,0,
bdlacree,1,0,
theprospect,1,0,
petergrier,1,0,
PabloMPinto,1,0,
ea_robinson,1,0,
VisualLori,1,0,
matttbastard,1,0,
AlecArellano1,1,0,
ESalin5,1,0,
NickWilliams33,1,0,
conorlittle,1,0,
rtmannjr,1,0,
KatSprat1,1,0,
raphaelccunha,1,0,
busbyj2,1,0,
Rana555Rana,1,0,
audks,1,0,
sslack812,1,0,
keithschnak,1,0,
KenHaskell,1,0,
JonnySmiles,1,0,
ObandoPeralta,1,0,
NatalieMJ84,1,0,
amandajobalzer,1,0,
Brutlady,1,0,
jprabanal,1,0,
i_e_a_paris,1,0,
zeynsom,1,0,
JeffBrownTweets,1,0,
joshbzin,1,0,
NatashaLGeorge,1,0,
JournoResource,1,0,
anamsimoes,1,0,
asmo17,1,0,
juliahon,1,0,
alter_egot,1,0,
MatildeCasaglia,1,0,
LouAronson,1,0,
NinaKearsey,1,0,
rossswhite,1,0,
Urifarres,1,0,
Maude_Adams,1,0,
MeridianFarms,1,0,
sameer_naik,1,0,
thebagustweet,1,0,
LaurenEForcucci,1,0,
wlr_3,1,0,
T0326071i,1,0,
VoxPopFilms,1,0,
KearneyAndrew,1,0,
daloya,1,0,
maumichic74,1,0,
MinneapolisPipe,1,0,
CenteredPols,1,0,
hangovers,1,0,
COZYUPWITHRAIN,1,0,
OnlymeOnlyme181,1,0,
timmo,1,0,
HowieShawki,1,0,
Morginador,1,0,
droopy4096,1,0,
drewdmcneil,1,0,
JeremyCPope,1,0,
VegardValberg,1,0,
RieraPedro,1,0,
txindiejourno,1,0,
arzupancic,1,0,
____ugh____,1,0,
filarena,1,0,
RobertPetito,1,0,
matt_burrows_SV,1,0,
kayhandelibas,1,0,
EnflexionCC,1,0,
AMarston22,1,0,
zthomae,1,0,
RebeccaHannagan,1,0,
PaulJTran,1,0,
jrswam,1,0,
brian_jphillips,1,0,
enzopittari,1,0,
Mc5oldrick,1,0,
VelizCF,1,0,
robjj99,1,0,
ahope71,1,0,
aguilarcamin,1,0,
GDebenedetti,1,0,
RyanBaker51,1,0,
NabilShokri2011,1,0,
KieranDunne11,1,0,
colettebrowne,1,0,
nnnotherone,1,0,
edwardwalker,1,0,
andreasepenzis,1,0,
Bradenwj,1,0,
votifi,1,0,
SB_Lavezzolo,1,0,
cambUP_History,1,0,
MideastChannel,1,0,
SnarkRemarks,1,0,
ranniefung,1,0,
NtumbaKongolo,1,0,
philowiese,1,0,
SipoBlog,1,0,
DimKaramanis,1,0,
Sofonisba_,1,0,
emayfarris,1,0,
DK_IM,1,0,
bischini,1,0,
MichaelPolSci,1,0,
kdittmar,1,0,
ANATOUNIS14,1,0,
Ifre_shs,1,0,
Rout_PoliticsIR,1,0,
ruslantrad,1,0,
jcberg,1,0,
AGartenlaub,1,0,
draymaker,1,0,
WMPoliUnd,1,0,
SharlettMary,1,0,
Russell_Grote,1,0,
JuliePhe,1,0,
samarthbhaskar,1,0,
AnaTska,1,0,
SJRickard,1,0,
kopfzeiler,1,0,
saromrho,1,0,
mikkisdr,1,0,
DrJaneGreen,1,0,
whatunotknow,1,0,
RakshitSharma,1,0,
vaidaengland,1,0,
petrpribyla,1,0,
dfriedman33,1,0,
churchskirt,1,0,
Kevbosheth,1,0,
salen140,1,0,
JINDALNIDHI,1,0,
fabulousraghu,1,0,
RomeMUN,1,0,
thomgijs,1,0,
hamsherjohn,1,0,
toddsmalley,1,0,
eaglading,1,0,
stateadebate,1,0,
katystigers,1,0,
ajungherr,1,0,
Scottj139,1,0,
annuperspective,1,0,
cfwells,1,0,
A_McMahan,1,0,
clrasmussen,1,0,
istewart1919,1,0,
WTFemale,1,0,
j_kalmbach,1,0,
ahujhes,1,0,
pkmacdonald,1,0,
fedeunderstress,1,0,
NECPUL,1,0,
election_data,1,0,
indianlokpal,1,0,
ma_me_ga,1,0,
prospectjournal,1,0,
taylorjmarvin,1,0,
posreast,1,0,
pgranitz,1,0,
MoreRuckus,1,0,
mooouna,1,0,
nachmann,1,0,
MOB238,1,0,
largitio,1,0,
mwdawson,1,0,
ekfletch,1,0,
wjkno1,1,0,
Half_Street,1,0,
vicarlos,1,0,
uederman,1,0,
First_Street,1,0,
